garden	basement	elevator	balcony	floor (storey)	nmbr of rooms	construction year	unemployment	Anteil Gruenenwaehler	price
FALSE	TRUE	FALSE	TRUE	1	3	2005	1	2	1
FALSE	FALSE	TRUE	FALSE	11	3	2024	2	2	1
FALSE	TRUE	FALSE	FALSE	1	6	1956	2	1	0
TRUE	TRUE	TRUE	TRUE	-1	5	1971	1	2	1
FALSE	TRUE	TRUE	TRUE	2	2	2021	3	1	1
FALSE	FALSE	FALSE	FALSE	-1	3	1938	1	2	1
TRUE	FALSE	FALSE	FALSE	-1	3	2011	1	2	1
FALSE	FALSE	FALSE	FALSE	-1	5	1922	1	1	1
FALSE	TRUE	TRUE	TRUE	-1	2	2021	3	1	0
FALSE	FALSE	TRUE	FALSE	-1	3	2022	2	1	0
FALSE	TRUE	FALSE	FALSE	-1	3	2022	2	1	1
TRUE	TRUE	TRUE	TRUE	-1	2	2022	2	3	1
FALSE	TRUE	TRUE	FALSE	1	3	2021	1	3	1
FALSE	TRUE	TRUE	FALSE	1	3	2021	1	3	1
FALSE	FALSE	TRUE	FALSE	18	4	2024	2	2	1
TRUE	TRUE	TRUE	TRUE	-1	3	2022	2	3	1
TRUE	TRUE	TRUE	TRUE	2	3	2022	2	3	1
FALSE	TRUE	TRUE	FALSE	-1	3	2022	1	2	1
TRUE	TRUE	TRUE	FALSE	2	4	2011	1	2	1
FALSE	FALSE	FALSE	TRUE	4	2	1962	1	3	1
TRUE	TRUE	TRUE	TRUE	-1	3	2022	2	3	1
FALSE	TRUE	TRUE	FALSE	-1	4	2022	1	2	1
FALSE	FALSE	TRUE	FALSE	-1	4	2002	2	3	1
FALSE	TRUE	FALSE	TRUE	2	2.5	1974	2	1	0
FALSE	FALSE	TRUE	TRUE	4	4	2022	1	3	1
FALSE	TRUE	TRUE	TRUE	-1	6	2022	1	2	1
FALSE	TRUE	TRUE	TRUE	-1	7	2022	1	2	1
FALSE	TRUE	FALSE	TRUE	1	3	1978	1	2	1
TRUE	TRUE	FALSE	TRUE	-1	5	1910	1	3	1
FALSE	FALSE	FALSE	FALSE	3	3	2003	1	3	1
FALSE	TRUE	FALSE	TRUE	-1	1	1965	3	1	1
FALSE	TRUE	FALSE	TRUE	-1	1	1965	3	1	1
FALSE	TRUE	TRUE	TRUE	-1	3	2023	2	1	0
FALSE	TRUE	TRUE	TRUE	-1	4	2023	2	1	0
FALSE	TRUE	FALSE	FALSE	2	1	1961	1	2	0
FALSE	FALSE	TRUE	FALSE	29	11	1972	2	3	1
FALSE	FALSE	FALSE	TRUE	3	2.5	1898	2	2	1
FALSE	FALSE	FALSE	FALSE	4	2	2020	1	1	1
FALSE	FALSE	FALSE	TRUE	3	5	2020	1	2	0
FALSE	TRUE	TRUE	TRUE	2	5	2021	3	1	1
FALSE	FALSE	FALSE	TRUE	-1	3	2021	3	1	0
TRUE	TRUE	FALSE	TRUE	-1	2	1955	2	2	0
FALSE	TRUE	TRUE	FALSE	5	4	2022	3	3	1
FALSE	TRUE	FALSE	FALSE	2	3	2021	2	1	0
FALSE	TRUE	TRUE	FALSE	1	5	2021	1	3	1
FALSE	TRUE	FALSE	FALSE	-1	3	1952	2	3	0
FALSE	FALSE	FALSE	TRUE	3	4	1915	1	3	1
FALSE	FALSE	FALSE	TRUE	-1	2	1974	1	1	0
FALSE	TRUE	TRUE	TRUE	2	7	1920	1	2	1
FALSE	TRUE	TRUE	FALSE	1	5	2021	1	3	1
FALSE	TRUE	TRUE	TRUE	-1	2	2021	1	2	0
TRUE	FALSE	FALSE	FALSE	-1	7	1904	1	3	1
FALSE	TRUE	TRUE	TRUE	13	1.5	1971	1	2	1
TRUE	TRUE	FALSE	TRUE	2	7	1980	1	2	0
TRUE	TRUE	TRUE	FALSE	3	2	2011	1	3	1
FALSE	FALSE	TRUE	TRUE	10	1	1968	1	3	1
FALSE	TRUE	TRUE	TRUE	3	3	1972	2	1	0
TRUE	TRUE	FALSE	TRUE	2	6	1965	1	1	0
TRUE	TRUE	FALSE	FALSE	-1	5	2014	2	3	1
TRUE	TRUE	FALSE	TRUE	1	2	1972	3	1	0
TRUE	TRUE	TRUE	TRUE	5	3	1970	3	1	0
FALSE	TRUE	FALSE	TRUE	3	2.5	1967	2	1	0
TRUE	TRUE	FALSE	FALSE	-1	2	1921	2	3	1
FALSE	TRUE	TRUE	TRUE	1	2	2000	1	1	0
FALSE	TRUE	TRUE	TRUE	1	4	1910	1	3	1
FALSE	TRUE	FALSE	TRUE	3	2.5	1951	2	3	0
FALSE	TRUE	FALSE	TRUE	3	3	1975	2	1	0
TRUE	TRUE	FALSE	TRUE	2	3	1958	3	2	1
FALSE	TRUE	FALSE	TRUE	-1	3	1972	2	1	0
FALSE	TRUE	TRUE	FALSE	4	2	1974	2	1	0
TRUE	TRUE	FALSE	TRUE	3	3	1970	2	1	0
TRUE	TRUE	TRUE	FALSE	2	2	2022	1	2	1
TRUE	TRUE	TRUE	FALSE	-1	3.5	2022	1	2	1
TRUE	TRUE	TRUE	FALSE	2	4	2022	1	2	1
FALSE	FALSE	FALSE	TRUE	1	2	1954	2	1	0
TRUE	FALSE	FALSE	FALSE	-1	3	2022	2	3	1
FALSE	TRUE	FALSE	TRUE	2	3.5	2004	1	2	1
FALSE	FALSE	TRUE	FALSE	1	3	1984	2	2	0
TRUE	TRUE	TRUE	TRUE	2	2	2021	2	3	1
TRUE	FALSE	FALSE	TRUE	-1	3	1967	1	1	0
FALSE	FALSE	TRUE	TRUE	7	1	1968	1	3	1
TRUE	TRUE	TRUE	TRUE	1	2	1963	2	3	1
TRUE	TRUE	FALSE	FALSE	-1	3.5	1968	2	1	0
FALSE	FALSE	TRUE	TRUE	10	1	1971	3	3	1
TRUE	TRUE	TRUE	FALSE	-1	4.5	2008	3	2	0
FALSE	FALSE	FALSE	FALSE	-1	2	1924	1	3	1
FALSE	TRUE	FALSE	TRUE	2	2	1976	2	1	0
TRUE	FALSE	FALSE	FALSE	-1	3	2002	1	1	0
TRUE	TRUE	FALSE	FALSE	-1	1	1912	3	2	0
FALSE	TRUE	TRUE	TRUE	-1	1	1996	2	1	0
